TTO,1994,0.3,0.45,0.6,29.0
TUN,1994,0.9,0.95,0.75,59.0
TUR,1994,0.8,0.75,0.55,59.0
TKM,1994,1.0,1.0,1.0,89.0
TUV,1994,0.0,0.0,0.0,-1.6862896094571624
UGA,1994,1.0,0.95,1.0,84.0
UKR,1994,0.7,0.55,0.85,44.0
ARE,1994,0.9,0.9,1.0,76.0
GBR,1994,0.4,0.3,0.25,24.0
USA,1994,0.1,0.1,0.3,12.0
URY,1994,0.3,0.35,0.3,23.0
UZB,1994,0.95,1.0,0.95,85.0
VUT,1994,1.0,0.6,0.65,45.0
VEN,1994,0.3,0.4,0.3,30.0
VNM,1994,1.0,0.9,0.5,71.0
PSE,1994,0.0,0.0,0.0,-1.4827149880484285
YEM,1994,0.5,0.65,0.85,55.0
ZMB,1994,0.8,0.45,0.5,50.0
ZWE,1994,0.5,0.95,0.8,48.0
AFG,1995,1.0,1.0,1.0,90.0
ALB,1995,0.9,0.8,0.5,67.0
DZA,1995,0.95,1.0,1.0,99.0
AND,1995,0.0,0.0,0.0,-1.4729788931141456
AGO,1995,1.0,1.0,0.5,68.0
ATG,1995,0.35,1.0,0.1,35.0
ARG,1995,0.35,0.35,0.3,29.0
ARM,1995,0.6,0.9,0.8,57.0
AUS,1995,0.1,0.05,0.2,7.0
AUT,1995,0.2,0.5,0.1,18.0
AZE,1995,0.95,0.95,0.8,69.0
BHS,1995,0.1,0.15,0.15,8.0
BHR,1995,0.9,0.9,0.75,57.0
BGD,1995,0.4,0.75,0.8,49.0
BRB,1995,0.1,0.4,0.3,19.0
BLR,1995,0.8,0.95,0.9,67.0
BEL,1995,0.1,0.1,0.1,7.0
BLZ,1995,0.25,0.45,0.4,22.0
BEN,1995,0.55,0.5,0.45,31.0
BTN,1995,1.0,0.9,1.0,62.0
BOL,1995,0.2,0.2,0.2,17.0
BIH,1995,0.9,0.7,0.95,72.0
BWA,1995,0.5,0.5,0.4,28.0
BRA,1995,0.2,0.45,0.4,30.0
BRN,1995,0.75,1.0,0.9,73.0
BGR,1995,0.4,0.65,0.7,39.0
BFA,1995,0.75,0.6,0.5,37.0
BDI,1995,0.95,0.95,0.95,88.0
KHM,1995,0.6,0.85,0.5,60.0
CMR,1995,0.9,0.95,0.75,78.0
CAN,1995,0.15,0.2,0.15,18.0
CPV,1995,0.5,0.3,0.5,32.0
CAF,1995,0.9,0.85,0.5,65.0
TCD,1995,0.95,0.95,0.7,72.0
CHL,1995,0.45,0.4,0.4,30.0
CHN,1995,1.0,0.9,0.75,83.0
COL,1995,0.35,0.75,0.6,48.0
COM,1995,0.65,0.55,0.55,46.0
COG,1995,0.85,0.65,0.6,53.0
COD,1995,1.0,0.95,0.9,85.0
CRI,1995,0.2,0.2,0.35,21.0
CIV,1995,0.9,0.65,0.85,63.0
XXC,1995,0.0,0.0,0.0,-1.4950764485320178
HRV,1995,0.9,0.9,0.6,56.0
CUB,1995,1.0,1.0,1.0,90.0
CYP,1995,0.2,0.35,0.25,24.0
CZE,1995,0.3,0.4,0.25,21.0
DNK,1995,0.1,0.1,0.25,9.0
DJI,1995,0.8,0.8,0.8,58.0
DMA,1995,0.1,0.4,0.3,16.0
DOM,1995,0.2,0.6,0.6,35.0
ECU,1995,0.35,0.5,0.3,41.0
EGY,1995,0.75,0.9,0.9,81.0
SLV,1995,0.2,0.65,0.65,32.0
GNQ,1995,0.7,1.0,0.5,74.0
ERI,1995,1.0,0.7,1.0,68.0
EST,1995,0.25,0.5,0.45,25.0
ETH,1995,0.9,0.65,0.7,59.0
FJI,1995,0.6,0.85,0.7,56.0
FIN,1995,0.1,0.35,0.3,15.0
FRA,1995,0.1,0.45,0.35,27.0
GAB,1995,0.7,0.6,0.4,52.0
GEO,1995,0.5,0.8,0.9,70.0
DEU,1995,0.2,0.2,0.15,18.0
GHA,1995,0.55,0.8,0.95,62.0
GRC,1995,0.4,0.3,0.2,26.0
GRD,1995,0.2,0.2,0.6,20.0
GTM,1995,0.45,0.7,0.4,60.0
GIN,1995,1.0,0.8,0.7,66.0
GNB,1995,0.3,0.75,0.9,50.0
GUY,1995,0.2,0.65,0.45,28.0
HTI,1995,0.65,0.65,0.7,51.0
HND,1995,0.25,1.0,0.35,45.0
HKG,1995,0.2,0.8,0.4,30.0
HUN,1995,0.2,0.75,0.6,38.0
ISL,1995,0.1,0.1,0.4,12.0
IND,1995,0.2,0.55,0.55,49.0
